ID,Code,Salary,Occupacy,Ages,Weight,Size,Feet_size,Performance
4134,34*****,Medium,Y,<17,33.5,151.6,35,1
4135,45*****,High,Y,<17,30.9,105.8,38,1
4136,56*****,High,Y,<17,43.1,199.7,42,1
4137,23*****,Low,N,<17,79.5,115.7,41,0
4138,56*****,High,Y,17+,76.7,187.4,35,0
4139,56*****,High,Y,17+,73.6,166.7,39,0
4140,34*****,Low,N,17+,77.3,190.8,34,0
4141,23*****,Medium,Y,17+,38.5,137.0,37,0
4142,12*****,High,Y,<17,68.4,122.2,42,0
4143,34*****,High,Y,<17,31.3,182.7,41,1
4144,12*****,Low,N,17+,33.8,192.6,41,1
4145,23*****,Medium,Y,17+,76.9,119.5,39,0
4146,23*****,Medium,Y,<17,65.8,155.3,39,0
4147,12*****,Medium,Y,<17,27.1,143.1,34,1
4148,23*****,Low,N,17+,24.3,190.3,41,1
4149,12*****,Low,N,17+,79.8,105.0,35,1
4150,12*****,High,Y,<17,63.0,118.2,39,0
4151,56*****,High,Y,<17,33.6,103.6,38,1
4152,45*****,Low,N,<17,68.2,160.3,38,1
4153,12*****,Low,N,<17,53.5,171.3,36,0
4154,12*****,High,Y,<17,30.7,172.6,34,1
4155,56*****,Medium,Y,17+,55.7,125.2,41,1
4156,56*****,Medium,Y,<17,76.8,143.7,40,0
4157,34*****,Low,N,17+,71.0,176.7,39,1
4158,12*****,Medium,Y,<17,25.1,179.1,37,1
4159,45*****,Medium,Y,<17,64.3,174.6,41,0
4160,12*****,Medium,Y,17+,35.2,118.2,38,0
4161,45*****,High,Y,<17,50.1,171.8,34,0
4162,23*****,High,Y,17+,44.0,125.8,37,0
4163,45*****,Medium,Y,17+,43.4,160.1,40,1
4164,12*****,Low,N,17+,50.0,185.3,36,1
4165,12*****,High,Y,<17,43.7,163.6,42,1
4166,45*****,High,Y,<17,53.3,149.4,37,0
4167,12*****,High,Y,<17,61.2,166.1,38,1
4168,34*****,Low,N,<17,29.2,187.8,38,0
4169,56*****,Low,N,<17,79.7,190.8,34,0
4170,34*****,High,Y,17+,40.8,114.7,37,0
4171,45*****,Medium,Y,<17,73.4,118.7,39,1
4172,45*****,High,Y,17+,25.2,195.6,38,0
4173,67*****,Medium,Y,17+,59.2,144.5,36,0
4174,34*****,Medium,Y,17+,32.5,142.0,37,1
4175,23*****,High,Y,17+,47.2,126.2,35,1
4176,45*****,Medium,Y,<17,55.4,191.3,41,1
4177,12*****,High,Y,<17,49.5,187.9,41,1
4178,12*****,High,Y,17+,26.4,164.7,34,1
4179,34*****,Medium,Y,17+,25.8,194.3,35,1
4180,56*****,High,Y,<17,34.4,194.8,36,1
4181,67*****,Medium,Y,17+,71.2,115.1,35,1
4182,23*****,Low,N,<17,56.0,164.5,38,1
4183,34*****,Medium,Y,,63.0,104.9,42,1
4184,34*****,High,Y,,78.1,179.7,37,1
4185,12*****,High,Y,17+,34.4,106.3,41,1
4186,45*****,High,Y,<17,53.0,132.4,41,0
4187,34*****,High,Y,<17,73.0,176.5,39,0
4188,45*****,High,Y,<17,66.6,133.9,42,1
4189,23*****,High,Y,<17,47.3,162.9,37,0
4190,12*****,High,Y,17+,60.9,188.3,35,0
4191,45*****,Low,N,<17,62.2,140.6,40,0
4192,12*****,High,Y,17+,70.8,175.8,38,1
4193,67*****,High,Y,<17,21.3,155.2,40,0
4194,34*****,High,Y,<17,68.9,138.4,40,0
4195,56*****,High,Y,,21.6,106.8,40,0
4196,56*****,High,Y,17+,24.1,182.6,37,0
4197,12*****,Medium,Y,17+,43.7,154.7,36,1
4198,12*****,High,Y,,53.0,109.3,34,1
4199,45*****,Medium,Y,<17,76.8,140.3,37,0
4200,67*****,Medium,Y,17+,43.7,171.3,41,1
4201,56*****,High,Y,<17,54.6,101.7,41,0
4202,56*****,Medium,Y,<17,45.7,194.1,36,1
4203,12*****,Medium,Y,<17,47.5,178.3,35,1
4204,45*****,Low,N,<17,79.3,103.5,40,1
4205,23*****,High,Y,17+,58.3,149.4,35,0
4206,23*****,Medium,Y,17+,35.6,101.4,38,1
4207,23*****,Medium,Y,<17,69.9,107.6,38,0
4208,34*****,High,Y,<17,45.8,182.6,39,0
4209,34*****,Low,N,<17,73.9,132.9,39,0
4210,12*****,Low,N,<17,59.9,159.1,34,0
4211,56*****,Medium,Y,<17,27.7,143.9,42,0
4212,12*****,Medium,Y,17+,40.7,190.2,42,0
4213,45*****,Low,N,17+,54.4,131.5,35,0
4214,56*****,High,Y,17+,74.8,180.8,40,0
4215,34*****,High,Y,<17,40.3,146.5,37,0
4216,45*****,Low,N,<17,51.9,122.5,36,1
4217,56*****,High,Y,17+,74.5,106.0,40,0
4218,56*****,Low,N,<17,34.5,193.7,34,1
4219,12*****,Medium,Y,<17,74.3,159.0,37,1
4220,23*****,Low,N,<17,59.8,186.9,34,0
4221,34*****,High,Y,<17,54.8,106.1,35,0
4222,56*****,Medium,Y,17+,35.9,155.0,42,0
4223,45*****,Low,N,17+,47.4,158.7,41,0
4224,34*****,High,Y,<17,63.9,118.4,37,0
4225,12*****,Medium,Y,<17,75.0,180.4,41,1
4226,56*****,Medium,Y,<17,49.0,170.8,40,1
4227,12*****,Medium,Y,<17,37.1,130.8,35,1
4228,34*****,High,Y,17+,21.8,157.9,38,0
4229,67*****,High,Y,<17,20.6,129.2,39,0
4230,23*****,High,Y,17+,39.7,183.4,34,0
4231,34*****,Low,N,17+,69.3,151.7,37,0
4232,45*****,High,Y,17+,44.3,193.0,34,0
4233,45*****,Medium,Y,17+,36.2,193.9,40,0
4234,12*****,High,Y,<17,45.2,180.4,42,1
4235,45*****,High,Y,<17,25.4,178.4,42,0
4236,34*****,High,Y,<17,44.2,108.6,42,0
4237,56*****,High,Y,17+,26.7,158.5,36,1
4238,12*****,Medium,Y,17+,29.6,187.7,42,0
4239,23*****,High,Y,17+,32.6,171.0,35,0
4240,56*****,Medium,Y,<17,34.4,169.1,37,0
4241,56*****,Low,N,<17,56.9,181.2,34,1
4242,45*****,High,Y,17+,41.6,121.1,37,0
4243,34*****,High,Y,<17,21.1,135.7,39,1
4244,23*****,High,Y,<17,68.2,152.7,35,1
4245,12*****,Medium,Y,17+,48.6,125.6,34,1
4246,45*****,Low,N,<17,79.3,143.2,39,0
4247,12*****,High,Y,<17,53.2,100.2,38,1
4248,56*****,Medium,Y,<17,76.7,170.9,38,0
4249,12*****,Medium,Y,<17,62.6,136.2,36,1
4250,34*****,High,Y,<17,37.2,171.8,36,0
4251,12*****,High,Y,<17,45.3,118.0,36,1
4252,12*****,High,Y,<17,62.4,174.4,42,1
4253,12*****,Medium,Y,<17,33.5,119.5,35,0
4254,23*****,High,Y,<17,73.6,156.0,40,1
4255,56*****,Medium,Y,17+,48.7,115.9,38,0
4256,34*****,Low,N,17+,78.5,106.0,40,0
4257,56*****,High,Y,<17,32.5,186.6,42,0
4258,45*****,Medium,Y,<17,27.2,198.2,42,1
4259,45*****,High,Y,<17,67.4,110.6,38,0
4260,56*****,Low,N,<17,68.4,166.5,36,0
4261,34*****,Low,N,<17,46.9,172.5,39,1
4262,45*****,Medium,Y,17+,31.6,199.9,37,0
4263,56*****,Low,N,<17,26.7,127.6,37,1
4264,45*****,High,Y,17+,39.6,132.3,38,0
4265,45*****,Low,N,<17,34.1,113.0,37,1
4266,12*****,High,Y,17+,53.2,118.3,42,0
4267,56*****,Medium,Y,<17,78.3,191.1,35,0
4268,12*****,Medium,Y,17+,23.8,188.8,38,0
4269,45*****,Medium,Y,<17,65.2,194.1,38,1
4270,56*****,Medium,Y,17+,54.7,140.1,41,0
4271,34*****,High,Y,<17,78.1,129.0,37,0
4272,45*****,Medium,Y,<17,53.9,166.8,36,0
4273,23*****,Low,N,17+,27.0,100.1,38,1
4274,34*****,High,Y,17+,28.6,187.2,41,0
4275,23*****,High,Y,<17,49.9,136.5,40,1
4276,34*****,Medium,Y,,65.3,170.3,40,0
4277,23*****,Medium,Y,17+,54.4,103.3,36,0
4278,45*****,Medium,Y,<17,27.3,179.9,35,1
4279,56*****,Medium,Y,17+,65.7,196.5,35,1
4280,67*****,High,Y,17+,26.5,152.7,39,1
4281,34*****,High,Y,<17,65.6,164.4,38,0
4282,34*****,Low,N,17+,57.2,180.4,37,1
4283,12*****,Medium,Y,<17,47.0,101.2,36,0
4284,56*****,High,Y,17+,63.1,193.9,40,0
4285,45*****,Medium,Y,<17,78.7,146.9,41,0
4286,56*****,High,Y,17+,40.1,161.2,34,0
4287,34*****,Medium,Y,<17,49.2,188.0,34,0
4288,56*****,High,Y,<17,23.5,187.4,42,1
4289,12*****,High,Y,<17,63.9,163.4,41,1
4290,23*****,High,Y,<17,32.7,125.6,37,1
4291,56*****,High,Y,17+,58.1,107.5,39,0
4292,45*****,High,Y,<17,25.6,166.9,35,0
4293,12*****,High,Y,17+,21.8,110.7,39,0
4294,56*****,Medium,Y,<17,33.4,161.7,42,1
4295,12*****,Low,N,,49.7,187.4,36,1
4296,45*****,High,Y,<17,33.8,161.6,36,0
4297,56*****,High,Y,<17,40.8,154.3,36,0
4298,12*****,High,Y,<17,58.0,179.7,39,1
4299,56*****,Low,N,<17,43.2,113.5,41,1
4300,45*****,High,Y,17+,61.4,172.3,37,0
4301,34*****,Medium,Y,<17,58.4,146.2,36,1
4302,56*****,High,Y,17+,53.0,139.8,37,1
4303,56*****,Medium,Y,17+,36.5,173.7,34,0
4304,23*****,Medium,Y,<17,27.5,112.7,39,1
4305,45*****,High,Y,<17,51.7,155.7,39,1
4306,45*****,Medium,Y,17+,66.1,109.6,38,1
4307,67*****,Low,N,17+,77.5,153.0,42,1
4308,12*****,High,Y,17+,36.8,156.8,42,0
4309,56*****,High,Y,<17,66.6,128.5,34,1
4310,12*****,Medium,Y,<17,36.3,114.4,37,1
4311,67*****,High,Y,<17,46.6,141.5,36,1
4312,12*****,Medium,Y,<17,38.6,120.6,37,1
4313,23*****,Medium,Y,<17,50.7,148.9,41,0
4314,23*****,Low,N,17+,46.2,105.3,34,0
4315,23*****,Low,N,<17,73.9,189.5,42,0
4316,56*****,High,Y,17+,73.6,185.5,42,0
4317,56*****,Medium,Y,<17,20.5,148.8,36,1
4318,23*****,High,Y,17+,44.8,141.5,36,1
4319,56*****,Medium,Y,<17,30.5,190.8,40,1
4320,12*****,Low,N,<17,33.0,174.5,42,0
4321,56*****,Medium,Y,<17,24.1,196.1,35,0
4322,45*****,High,Y,<17,77.2,172.9,34,0
4323,56*****,High,Y,17+,45.8,107.9,35,1
4324,23*****,High,Y,17+,64.5,148.5,35,0
4325,23*****,Low,N,17+,60.9,151.8,41,0
4326,12*****,Low,N,<17,50.6,147.1,39,0
4327,56*****,High,Y,17+,64.1,158.4,42,1
4328,67*****,Low,N,17+,76.5,142.3,34,0
4329,45*****,Medium,Y,<17,40.6,131.4,42,1
4330,67*****,Medium,Y,17+,57.3,157.6,42,0
4331,12*****,High,Y,17+,27.3,197.8,35,1
4332,34*****,Medium,Y,<17,72.2,189.5,42,0
4333,45*****,High,Y,17+,53.0,144.2,38,1
4334,34*****,Medium,Y,<17,25.0,167.2,41,1
4335,12*****,Medium,Y,17+,38.5,125.8,42,1
4336,34*****,High,Y,<17,56.0,153.9,36,1
4337,56*****,Medium,Y,<17,24.2,117.5,36,1
4338,23*****,Low,N,,41.8,144.5,35,1
4339,12*****,Low,N,<17,29.7,161.1,42,0
4340,67*****,High,Y,17+,77.0,188.3,38,1
4341,34*****,High,Y,17+,71.9,171.9,41,0
4342,45*****,High,Y,17+,27.4,129.4,42,0
4343,56*****,Low,N,<17,57.2,138.8,39,0
4344,12*****,Medium,Y,<17,72.4,183.1,35,1
4345,23*****,Low,N,<17,39.9,179.1,39,1
4346,45*****,High,Y,17+,72.5,115.1,41,0
4347,12*****,Medium,Y,17+,59.8,185.4,38,1
4348,45*****,Low,N,<17,37.1,107.7,37,0
4349,34*****,High,Y,<17,40.1,144.7,39,1
4350,12*****,High,Y,<17,36.7,104.0,40,0
4351,56*****,Low,N,<17,20.6,136.0,36,1
4352,34*****,High,Y,17+,27.3,167.1,40,1
4353,23*****,Medium,Y,17+,41.2,102.8,35,0
4354,34*****,High,Y,<17,70.3,186.8,35,1
4355,12*****,Medium,Y,<17,51.0,153.6,39,1
4356,67*****,High,Y,<17,32.9,170.8,42,0
4357,45*****,High,Y,<17,53.9,169.2,38,0
4358,12*****,High,Y,17+,43.3,109.5,41,0
4359,23*****,Medium,Y,<17,48.6,102.2,38,1
4360,23*****,Low,N,<17,78.3,189.6,36,0
4361,34*****,Medium,Y,17+,47.0,179.9,34,1
4362,23*****,Low,N,<17,63.6,165.8,34,1
4363,56*****,Medium,Y,17+,55.7,156.6,36,1
4364,45*****,Medium,Y,<17,31.7,115.4,39,0
4365,56*****,High,Y,17+,49.3,157.4,37,1
4366,12*****,High,Y,<17,34.4,116.8,35,0
4367,12*****,Medium,Y,17+,77.4,196.4,38,0
4368,12*****,Medium,Y,17+,79.7,108.1,34,0
4369,12*****,Medium,Y,17+,36.3,101.6,34,0
4370,34*****,Medium,Y,<17,29.9,142.1,38,0
4371,34*****,Medium,Y,<17,57.1,185.3,36,1
4372,23*****,High,Y,,21.5,154.0,42,1
4373,12*****,High,Y,<17,25.5,161.5,39,1
4374,23*****,Medium,Y,<17,47.6,117.6,38,1
4375,23*****,Medium,Y,<17,69.2,179.5,40,1
4376,34*****,Low,N,,42.9,129.5,42,0
4377,45*****,Medium,Y,17+,34.2,177.4,36,1
4378,23*****,Medium,Y,17+,49.1,145.6,34,1
4379,67*****,High,Y,17+,22.4,176.1,36,1
4380,56*****,Medium,Y,<17,33.8,102.9,38,0
4381,56*****,Medium,Y,<17,72.2,141.1,40,1
4382,12*****,Low,N,<17,50.5,175.9,38,0
4383,45*****,High,Y,<17,37.2,101.2,41,0
4384,12*****,High,Y,17+,63.1,145.2,34,1
4385,23*****,High,Y,<17,29.4,185.9,42,1
4386,23*****,High,Y,<17,27.3,153.8,38,1
4387,12*****,Medium,Y,,70.3,173.5,34,0
4388,56*****,Low,N,<17,79.2,110.4,41,1
4389,56*****,High,Y,<17,26.3,199.7,42,1
4390,56*****,Medium,Y,<17,25.8,174.3,42,0
4391,67*****,Medium,Y,<17,30.3,100.7,42,0
4392,23*****,High,Y,17+,31.0,144.9,34,0
4393,34*****,Medium,Y,17+,37.4,109.4,41,1
4394,12*****,Low,N,17+,54.8,119.6,36,0
4395,56*****,Low,N,17+,32.8,181.6,42,0
4396,56*****,High,Y,17+,77.8,123.6,35,1
4397,12*****,Low,N,<17,29.4,126.8,38,1
4398,56*****,Low,N,<17,66.9,126.9,42,0
4399,67*****,Medium,Y,<17,34.0,197.2,35,0
4400,23*****,High,Y,<17,23.0,150.5,41,1
4401,67*****,High,Y,<17,34.8,120.4,39,1
4402,56*****,High,Y,17+,71.1,178.2,40,0
4403,67*****,High,Y,<17,79.0,184.4,35,1
4404,12*****,Medium,Y,<17,22.6,190.3,36,1
4405,12*****,High,Y,17+,69.5,179.9,36,1
4406,12*****,High,Y,<17,62.7,135.6,39,0
4407,45*****,Medium,Y,<17,31.8,186.1,42,0
4408,12*****,High,Y,17+,40.4,132.6,36,0
4409,56*****,High,Y,<17,56.0,137.6,42,0
4410,56*****,Low,N,<17,38.4,115.6,35,0
4411,12*****,High,Y,<17,79.4,151.7,40,1
4412,56*****,High,Y,17+,35.2,138.0,42,1
4413,23*****,High,Y,<17,25.0,192.9,41,1
4414,56*****,Medium,Y,<17,66.9,160.8,35,0
4415,34*****,Medium,Y,<17,61.6,121.9,36,0
4416,67*****,Medium,Y,<17,77.5,192.2,36,0
4417,23*****,Medium,Y,<17,79.2,129.9,37,0
4418,34*****,High,Y,17+,22.2,184.9,42,0
4419,56*****,Medium,Y,17+,46.2,120.5,34,0
4420,34*****,High,Y,<17,58.6,194.2,37,1
4421,56*****,Low,N,<17,78.9,141.4,41,0
4422,12*****,High,Y,17+,78.5,116.9,35,1
4423,12*****,High,Y,<17,38.7,150.9,36,1
4424,34*****,High,Y,17+,23.5,143.7,38,1
4425,12*****,High,Y,<17,26.1,116.9,35,0
4426,23*****,High,Y,<17,56.4,198.7,37,0
4427,34*****,Medium,Y,<17,31.6,162.9,36,1
4428,12*****,High,Y,<17,38.1,168.5,35,0
4429,34*****,High,Y,<17,68.0,181.6,37,0
4430,23*****,High,Y,<17,22.8,104.5,40,0
4431,12*****,Medium,Y,,79.0,174.1,34,0
4432,12*****,High,Y,<17,62.1,182.0,39,1
4433,34*****,Low,N,<17,75.2,110.8,42,0
4434,12*****,High,Y,<17,65.8,181.3,39,0
4435,34*****,High,Y,<17,78.8,121.0,34,1
4436,34*****,High,Y,17+,78.2,115.6,34,1
4437,12*****,High,Y,<17,46.6,116.9,39,0
4438,12*****,High,Y,17+,31.6,122.7,42,1
4439,34*****,Medium,Y,<17,42.0,188.1,35,0
4440,45*****,High,Y,<17,39.2,128.4,42,1
4441,34*****,Medium,Y,<17,51.2,152.7,39,0
4442,23*****,Medium,Y,<17,31.5,184.9,39,0
4443,45*****,Low,N,<17,46.1,181.2,38,1
4444,34*****,High,Y,<17,58.9,166.8,42,0
4445,45*****,Medium,Y,<17,63.5,138.0,36,1
4446,45*****,Medium,Y,<17,56.1,179.2,37,0
4447,56*****,Medium,Y,17+,49.4,141.9,41,0
4448,12*****,High,Y,<17,26.4,182.5,41,1
4449,56*****,High,Y,<17,60.5,185.2,40,1
4450,56*****,High,Y,<17,23.1,161.5,35,0
4451,45*****,Medium,Y,17+,46.8,123.7,40,1
4452,12*****,High,Y,<17,61.5,141.6,39,1
4453,23*****,High,Y,<17,37.7,189.6,38,1
4454,12*****,Low,N,<17,74.5,170.5,36,0
4455,34*****,High,Y,17+,50.3,191.9,40,0
4456,45*****,High,Y,<17,66.1,186.2,34,0
4457,34*****,Low,N,17+,46.7,197.5,39,1
4458,23*****,High,Y,17+,58.8,126.5,35,1
4459,34*****,Medium,Y,<17,36.2,101.2,38,1
4460,56*****,High,Y,<17,54.2,122.3,36,0
4461,56*****,High,Y,<17,24.4,110.1,42,1
4462,56*****,Medium,Y,17+,57.9,138.5,39,1
4463,45*****,High,Y,17+,79.6,125.2,34,0
4464,34*****,Low,N,<17,69.1,169.5,34,1
4465,12*****,High,Y,<17,65.6,178.0,41,0
4466,12*****,Low,N,<17,78.6,115.9,38,1
4467,34*****,High,Y,<17,27.7,173.0,34,0
4468,45*****,Medium,Y,<17,76.8,184.2,38,1
4469,34*****,Medium,Y,<17,22.0,121.3,36,0
4470,23*****,High,Y,<17,48.0,193.1,40,0
4471,34*****,High,Y,17+,46.8,184.0,34,1
4472,12*****,High,Y,17+,41.5,108.1,36,1
4473,34*****,High,Y,17+,79.3,181.9,38,1
4474,12*****,High,Y,17+,39.7,174.8,42,1
4475,45*****,Medium,Y,<17,69.1,161.5,35,1
4476,67*****,Medium,Y,17+,29.8,178.8,38,0
4477,56*****,High,Y,<17,37.8,169.0,39,0
4478,34*****,High,Y,<17,76.2,169.4,39,0
4479,23*****,Medium,Y,<17,68.4,154.8,40,0
4480,12*****,Medium,Y,17+,74.4,112.7,37,0
4481,67*****,High,Y,17+,70.4,159.3,35,1
4482,12*****,Medium,Y,<17,48.6,132.1,40,1
4483,12*****,Low,N,17+,73.0,184.0,36,0
4484,45*****,Medium,Y,<17,76.5,175.2,42,1
4485,23*****,Low,N,<17,74.8,133.7,41,1
4486,23*****,High,Y,<17,52.0,173.6,34,0
4487,45*****,High,Y,<17,73.7,105.1,34,0
4488,56*****,Low,N,<17,65.1,144.7,39,0
4489,34*****,High,Y,<17,59.6,121.6,38,0
4490,67*****,Medium,Y,<17,42.0,134.1,38,0
4491,67*****,Medium,Y,<17,57.6,164.1,35,0
4492,67*****,High,Y,<17,28.7,173.5,38,1
4493,45*****,High,Y,<17,70.5,167.8,39,1
4494,23*****,High,Y,<17,42.3,186.6,41,0
4495,45*****,High,Y,17+,47.4,170.5,40,0
4496,56*****,High,Y,17+,40.4,162.9,41,0
4497,23*****,High,Y,<17,74.9,151.9,40,1
4498,12*****,High,Y,,47.0,154.1,37,1
4499,45*****,Low,N,17+,41.3,132.4,34,1
4500,23*****,High,Y,17+,66.6,195.3,42,0
4501,34*****,High,Y,,75.9,171.9,34,1
4502,45*****,High,Y,<17,60.8,164.7,37,0
4503,12*****,High,Y,<17,57.9,127.3,34,1
4504,12*****,Low,N,<17,69.2,178.2,35,1
4505,56*****,High,Y,17+,79.1,178.2,34,1
4506,34*****,High,Y,<17,59.2,132.8,37,1
4507,67*****,Medium,Y,<17,57.1,102.9,39,1
4508,45*****,High,Y,<17,71.0,167.3,39,1
4509,56*****,High,Y,<17,61.4,153.2,41,1
4510,12*****,Medium,Y,<17,78.6,168.3,37,1
4511,12*****,High,Y,<17,57.9,126.7,38,0
4512,12*****,Medium,Y,17+,47.8,167.1,34,0
4513,23*****,Medium,Y,<17,65.6,130.4,41,0
4514,34*****,Medium,Y,17+,55.7,156.7,35,0
4515,12*****,Medium,Y,17+,55.2,132.2,34,1
4516,12*****,Medium,Y,<17,67.4,175.6,39,0
4517,12*****,High,Y,<17,20.3,192.2,39,0
4518,56*****,Medium,Y,<17,65.8,192.8,42,1
4519,34*****,Medium,Y,<17,72.1,119.1,38,1
4520,23*****,High,Y,17+,54.2,173.1,42,1
4521,34*****,Medium,Y,17+,46.7,162.1,34,1
4522,12*****,Medium,Y,17+,23.2,185.8,36,1
4523,67*****,High,Y,<17,41.9,180.6,37,1
4524,12*****,Medium,Y,17+,65.4,151.1,39,1
4525,67*****,High,Y,17+,70.0,138.9,37,0
4526,45*****,Low,N,17+,40.4,115.2,37,1
4527,23*****,High,Y,17+,74.5,128.7,40,0
4528,12*****,High,Y,<17,63.6,142.1,41,0
4529,12*****,Low,N,<17,65.5,117.3,34,0
4530,56*****,Low,N,17+,57.9,102.5,39,1
4531,56*****,High,Y,<17,71.0,119.5,35,1
4532,67*****,Low,N,<17,62.6,181.9,42,0
4533,34*****,Low,N,<17,48.4,143.3,35,0
4534,56*****,High,Y,<17,32.3,183.9,37,1
4535,45*****,Low,N,17+,42.4,102.1,39,0
4536,34*****,High,Y,<17,71.4,126.1,36,1
4537,45*****,Low,N,,26.9,185.8,38,1
4538,56*****,Medium,Y,17+,29.0,145.0,34,0
4539,67*****,Low,N,17+,41.0,142.6,39,1
4540,56*****,Low,N,<17,48.5,151.3,34,0
4541,45*****,Low,N,<17,30.8,115.9,36,1
4542,45*****,Medium,Y,,66.4,166.8,38,1
4543,12*****,High,Y,<17,27.7,114.9,34,1
4544,56*****,Medium,Y,17+,27.4,181.1,39,0
4545,56*****,High,Y,17+,28.3,156.1,34,1
4546,23*****,Medium,Y,,58.0,165.7,37,0
4547,12*****,High,Y,17+,68.6,166.0,35,1
4548,12*****,Medium,Y,17+,45.5,151.5,35,0
4549,34*****,High,Y,<17,39.7,170.4,34,1
4550,67*****,Low,N,<17,51.5,166.6,42,1
4551,56*****,High,Y,<17,55.7,171.9,39,0
4552,34*****,Low,N,17+,66.9,169.9,39,0
4553,56*****,High,Y,<17,43.1,144.2,39,0
4554,34*****,Medium,Y,<17,56.6,153.3,38,1
4555,56*****,Low,N,<17,58.9,197.3,37,0
4556,67*****,High,Y,17+,27.0,156.5,40,0
4557,12*****,Low,N,<17,32.7,127.1,38,1
4558,12*****,Medium,Y,<17,20.3,105.8,37,0
4559,12*****,High,Y,<17,50.3,106.9,40,0
4560,23*****,High,Y,<17,67.2,199.1,39,1
4561,34*****,High,Y,<17,65.9,158.9,39,1
4562,23*****,High,Y,<17,63.5,167.5,34,0
4563,12*****,High,Y,<17,29.8,115.2,41,0
4564,23*****,High,Y,17+,40.4,136.4,36,1
4565,56*****,High,Y,<17,56.0,134.7,34,0
4566,12*****,Low,N,<17,63.7,142.4,41,1
4567,23*****,High,Y,,60.6,148.7,36,0
4568,34*****,High,Y,<17,51.0,114.4,34,1
4569,56*****,Medium,Y,17+,34.6,101.5,38,0
4570,56*****,High,Y,<17,64.5,118.5,37,0
4571,12*****,Medium,Y,<17,28.8,192.3,37,0
4572,45*****,High,Y,<17,24.7,162.4,41,1
4573,56*****,Medium,Y,<17,29.1,180.8,37,1
4574,56*****,Low,N,<17,59.6,163.5,37,1
4575,12*****,Medium,Y,<17,65.1,101.9,37,0
4576,56*****,High,Y,<17,35.1,108.1,41,1
4577,45*****,Low,N,<17,74.4,100.1,39,1
4578,12*****,High,Y,<17,30.4,112.5,38,1
4579,34*****,High,Y,17+,63.4,122.3,39,1
4580,34*****,High,Y,17+,52.6,100.8,34,0
4581,12*****,High,Y,<17,54.3,145.7,40,0
4582,34*****,High,Y,17+,56.1,127.7,36,0
4583,56*****,High,Y,<17,65.5,176.0,36,0
4584,12*****,High,Y,<17,31.8,182.0,37,0
4585,23*****,Medium,Y,<17,63.5,174.8,36,1
4586,67*****,High,Y,17+,52.2,129.9,39,0
4587,67*****,Low,N,17+,22.6,175.7,42,1
4588,23*****,Low,N,17+,73.6,101.7,42,1
4589,56*****,High,Y,<17,76.4,192.4,36,1
4590,56*****,High,Y,<17,76.4,125.1,39,0
4591,12*****,High,Y,<17,49.1,185.6,41,1
4592,12*****,High,Y,<17,25.3,146.2,37,0
4593,12*****,Low,N,17+,21.2,154.0,36,1
4594,34*****,Medium,Y,<17,54.6,188.5,42,0
4595,67*****,Medium,Y,<17,22.3,176.1,38,0
4596,12*****,High,Y,<17,47.8,118.2,37,0
4597,23*****,High,Y,<17,23.4,120.3,42,1
4598,23*****,Low,N,<17,78.2,194.1,37,0
4599,56*****,High,Y,17+,44.5,155.8,40,0
4600,12*****,High,Y,<17,36.8,164.6,39,1
4601,23*****,High,Y,17+,31.4,144.4,36,0
4602,56*****,High,Y,17+,40.5,147.2,40,0
4603,56*****,High,Y,<17,36.7,161.1,39,0
4604,34*****,High,Y,17+,45.2,177.2,34,1
4605,67*****,High,Y,<17,64.0,118.9,38,0
4606,56*****,High,Y,17+,74.9,159.3,36,0
4607,45*****,Low,N,<17,66.0,139.8,34,0
4608,56*****,High,Y,<17,23.0,170.0,42,1
4609,56*****,High,Y,<17,43.2,154.8,35,1
4610,12*****,High,Y,17+,28.3,199.9,42,1
4611,67*****,High,Y,<17,43.5,151.1,40,0
4612,23*****,Low,N,17+,41.9,124.0,42,0
4613,12*****,Low,N,17+,34.8,159.3,41,1
4614,56*****,High,Y,<17,38.3,158.2,38,1
4615,12*****,Low,N,17+,23.5,124.5,40,1
4616,67*****,High,Y,<17,29.8,136.5,41,0
4617,12*****,High,Y,17+,28.0,105.1,38,1
4618,56*****,Low,N,<17,35.1,173.5,39,1
4619,12*****,High,Y,<17,43.2,105.8,38,0
4620,12*****,High,Y,17+,52.0,189.9,42,0
4621,56*****,High,Y,<17,71.6,130.9,35,0
4622,56*****,High,Y,17+,61.0,190.3,37,0
4623,45*****,Low,N,17+,44.8,106.6,40,1
4624,12*****,Medium,Y,<17,44.6,197.8,42,0
4625,56*****,High,Y,<17,47.2,153.8,39,0
4626,12*****,High,Y,<17,26.9,177.9,38,0
4627,67*****,Medium,Y,<17,53.0,121.2,41,1
4628,45*****,High,Y,<17,64.0,125.7,35,1
4629,12*****,Medium,Y,17+,45.6,161.2,35,1
4630,34*****,Medium,Y,<17,48.4,141.6,41,1
4631,56*****,Medium,Y,<17,39.7,133.6,35,0
4632,45*****,High,Y,<17,68.1,154.5,38,1
4633,56*****,Low,N,17+,34.6,170.0,35,1
4634,23*****,High,Y,<17,39.7,164.5,41,0
4635,56*****,Medium,Y,17+,43.8,109.2,36,1
4636,12*****,High,Y,<17,51.8,196.1,36,0
4637,56*****,Medium,Y,<17,64.8,186.6,34,1
4638,45*****,Medium,Y,<17,67.7,102.7,34,1
4639,45*****,Low,N,17+,46.8,110.1,40,0
